	Event_Time	Cause	Growth_Factor	GFP	Group	Clone	Progeny	Generation	GFP_Age	IsGFPatBirth	StartTime	BirthTime
26	4.78854167e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.00000000e+01	3.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908922e+05
27	4.79004630e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.30000000e+01	3.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908634e+05
28	4.99837963e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.50000000e+01	3.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908634e+05
29	5.15462963e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.40000000e+01	3.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908634e+05
30	5.25879630e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.20000000e+01	3.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908634e+05
31	1.13043981e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.70000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908958e+05
32	2.27939815e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	1.60000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32908958e+05
33	2.54548611e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.50000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909162e+05
34	3.11990741e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	3.10000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909136e+05
35	5.68055556e-01	0.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	3.00000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909136e+05
36	8.96990741e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.00000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909402e+05
37	1.01521991e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.20000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909366e+05
38	1.02042824e+00	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	4.00000000e+00	2.30000000e+01	4.00000000e+00	       NaN	1.00000000e+00	7.32906983e+05	7.32909366e+05
