	Event_Time	Cause	Group	Clone	Progeny	Generation	GFPAtBirth	GFPAtDeath
196	2.76E+00	1.00E+00	Condition 3	9.00E+00	3.00E+00	1.00E+00	1.12E+02	2.03E+02
212	8.82E-01	0.00E+00	Condition 3	9.00E+00	6.00E+00	2.00E+00	1.75E+02	1.03E+02
211	8.82E-01	0.00E+00	Condition 3	9.00E+00	7.00E+00	2.00E+00	1.21E+02	1.15E+02
233	3.02E-01	1.00E+00	Condition 4	9.00E+00	1.00E+00	0.00E+00	6.63E+02	1.53E+03
262	2.34E+00	1.00E+00	Condition 4	9.00E+00	2.00E+00	1.00E+00	1.01E+02	1.71E+03
238	2.84E+00	1.00E+00	Condition 4	9.00E+00	3.00E+00	1.00E+00	9.14E+00	1.90E+03
273	1.49E+00	0.00E+00	Condition 4	9.00E+00	4.00E+00	2.00E+00	6.26E+00	2.00E+03
276	1.49E+00	0.00E+00	Condition 4	9.00E+00	5.00E+00	2.00E+00	8.91E+00	1.79E+03
281	9.86E-01	0.00E+00	Condition 4	9.00E+00	6.00E+00	2.00E+00	2.04E+01	2.14E+03
311	9.86E-01	0.00E+00	Condition 4	9.00E+00	7.00E+00	2.00E+00	1.67E+03	2.37E+03
355	2.84E+00	2.00E+00	Condition 5	9.00E+00	1.00E+00	0.00E+00	9.85E+01	3.92E+02
408	3.29E+00	2.00E+00	Condition 6	9.00E+00	1.00E+00	0.00E+00	3.51E+01	6.32E+01
546	4.58E-01	1.00E+00	Condition 7	9.00E+00	1.00E+00	0.00E+00	3.68E+01	2.97E+01
560	2.70E+00	2.00E+00	Condition 7	9.00E+00	2.00E+00	1.00E+00	1.65E+01	4.74E+01
558	2.53E+00	2.00E+00	Condition 7	9.00E+00	3.00E+00	1.00E+00	1.35E+01	5.39E+01
588	7.57E-02	1.00E+00	Condition 8	9.00E+00	1.00E+00	0.00E+00	3.68E+02	1.69E+02
594	2.45E+00	1.00E+00	Condition 8	9.00E+00	2.00E+00	1.00E+00	9.09E+00	3.12E+02
624	2.12E+00	1.00E+00	Condition 8	9.00E+00	3.00E+00	1.00E+00	1.46E+02	3.33E+02
627	1.60E+00	0.00E+00	Condition 8	9.00E+00	4.00E+00	2.00E+00	5.76E+00	1.19E+02
639	1.60E+00	0.00E+00	Condition 8	9.00E+00	5.00E+00	2.00E+00	1.87E+01	1.10E+02
648	1.34E+00	1.00E+00	Condition 8	9.00E+00	6.00E+00	2.00E+00	3.20E+01	6.19E+02
682	1.94E+00	1.00E+00	Condition 8	9.00E+00	7.00E+00	2.00E+00	2.44E+02	9.66E+02
720	5.94E-01	0.00E+00	Condition 8	9.00E+00	1.20E+01	3.00E+00	1.53E+02	9.56E+01
693	5.94E-01	0.00E+00	Condition 8	9.00E+00	1.30E+01	3.00E+00	2.18E+01	2.89E+01
4	4.13E+00	0.00E+00	Condition 1	1.00E+01	1.00E+00	0.00E+00	2.10E+01	3.21E+01
67	1.94E+00	1.00E+00	Condition 2	1.00E+01	1.00E+00	0.00E+00	5.04E+01	2.64E+02
108	2.19E+00	0.00E+00	Condition 2	1.00E+01	2.00E+00	1.00E+00	1.16E+02	9.85E+01
100	2.19E+00	0.00E+00	Condition 2	1.00E+01	3.00E+00	1.00E+00	8.02E+01	1.12E+02
178	7.60E-01	1.00E+00	Condition 3	1.00E+01	1.00E+00	0.00E+00	8.54E+01	2.85E+02
193	3.37E+00	0.00E+00	Condition 3	1.00E+01	2.00E+00	1.00E+00	8.63E+01	7.90E+01
192	2.22E+00	1.00E+00	Condition 3	1.00E+01	3.00E+00	1.00E+00	7.79E+01	1.44E+02
205	1.14E+00	0.00E+00	Condition 3	1.00E+01	6.00E+00	2.00E+00	2.76E+01	5.17E+01
208	1.14E+00	0.00E+00	Condition 3	1.00E+01	7.00E+00	2.00E+00	6.14E+01	2.59E+01
224	4.13E+00	0.00E+00	Condition 4	1.00E+01	1.00E+00	0.00E+00	8.65E+01	1.21E+02
356	3.33E-01	1.00E+00	Condition 5	1.00E+01	1.00E+00	0.00E+00	2.28E+02	2.32E+02
374	3.70E+00	2.00E+00	Condition 5	1.00E+01	2.00E+00	1.00E+00	5.84E+01	3.87E+02
361	3.09E+00	2.00E+00	Condition 5	1.00E+01	3.00E+00	1.00E+00	1.11E+01	2.38E+02
426	4.13E+00	0.00E+00	Condition 6	1.00E+01	1.00E+00	0.00E+00	2.26E+02	6.35E+01
553	3.05E+00	2.00E+00	Condition 7	1.00E+01	1.00E+00	0.00E+00	1.24E+02	3.50E+02
583	1.66E-01	1.00E+00	Condition 8	1.00E+01	1.00E+00	0.00E+00	1.12E+02	2.68E+02
595	1.71E+00	1.00E+00	Condition 8	1.00E+01	2.00E+00	1.00E+00	9.96E+00	3.54E+02
616	2.31E+00	1.00E+00	Condition 8	1.00E+01	3.00E+00	1.00E+00	9.76E+01	2.88E+02
651	6.56E-01	1.00E+00	Condition 8	1.00E+01	4.00E+00	2.00E+00	3.30E+01	2.36E+02
647	5.94E-01	1.00E+00	Condition 8	1.00E+01	5.00E+00	2.00E+00	2.88E+01	3.10E+02
675	1.02E+00	1.00E+00	Condition 8	1.00E+01	6.00E+00	2.00E+00	1.51E+02	3.29E+02
673	7.86E-01	1.00E+00	Condition 8	1.00E+01	7.00E+00	2.00E+00	1.48E+02	3.06E+02
695	5.64E-01	2.00E+00	Condition 8	1.00E+01	8.00E+00	3.00E+00	2.45E+01	6.36E+01
702	1.59E+00	0.00E+00	Condition 8	1.00E+01	9.00E+00	3.00E+00	2.87E+01	1.35E+02
690	6.27E-01	1.00E+00	Condition 8	1.00E+01	1.00E+01	3.00E+00	1.30E+01	3.80E+02
730	6.19E-01	1.00E+00	Condition 8	1.00E+01	1.10E+01	3.00E+00	2.93E+02	1.18E+02
717	6.35E-01	0.00E+00	Condition 8	1.00E+01	1.20E+01	3.00E+00	1.30E+02	1.05E+02
711	6.35E-01	0.00E+00	Condition 8	1.00E+01	1.30E+01	3.00E+00	7.72E+01	1.03E+02
716	1.61E-01	2.00E+00	Condition 8	1.00E+01	1.40E+01	3.00E+00	1.14E+02	7.07E+01
721	8.69E-01	0.00E+00	Condition 8	1.00E+01	1.50E+01	3.00E+00	1.63E+02	2.81E+02
23	4.13E+00	0.00E+00	Condition 1	1.10E+01	1.00E+00	0.00E+00	1.47E+02	1.17E+02
63	3.29E+00	1.00E+00	Condition 2	1.10E+01	1.00E+00	0.00E+00	4.61E+01	1.60E+02
90	8.33E-01	0.00E+00	Condition 2	1.10E+01	2.00E+00	1.00E+00	5.57E+01	3.85E+01
85	8.33E-01	0.00E+00	Condition 2	1.10E+01	3.00E+00	1.00E+00	3.99E+01	2.50E+01
175	4.13E+00	0.00E+00	Condition 3	1.10E+01	1.00E+00	0.00E+00	3.35E+01	4.67E+01
220	1.77E-01	1.00E+00	Condition 4	1.10E+01	1.00E+00	0.00E+00	4.31E+01	5.18E+01
253	2.33E+00	2.00E+00	Condition 4	1.10E+01	2.00E+00	1.00E+00	3.76E+01	1.14E+02
255	1.95E+00	2.00E+00	Condition 4	1.10E+01	3.00E+00	1.00E+00	4.03E+01	5.46E+01
348	7.29E-01	1.00E+00	Condition 5	1.10E+01	1.00E+00	0.00E+00	2.40E+01	7.10E+01
362	1.99E+00	1.00E+00	Condition 5	1.10E+01	2.00E+00	1.00E+00	1.23E+01	1.00E+02
359	2.82E+00	2.00E+00	Condition 5	1.10E+01	3.00E+00	1.00E+00	9.72E+00	3.11E+01
387	1.40E+00	0.00E+00	Condition 5	1.10E+01	4.00E+00	2.00E+00	4.66E+01	3.00E+01
388	1.38E+00	2.00E+00	Condition 5	1.10E+01	5.00E+00	2.00E+00	5.16E+01	4.94E+01
411	2.29E-01	1.00E+00	Condition 6	1.10E+01	1.00E+00	0.00E+00	4.27E+01	1.39E+02
441	2.87E+00	2.00E+00	Condition 6	1.10E+01	2.00E+00	1.00E+00	2.43E+01	2.46E+02
448	3.02E+00	1.00E+00	Condition 6	1.10E+01	3.00E+00	1.00E+00	3.64E+01	2.70E+02
507	8.82E-01	0.00E+00	Condition 6	1.10E+01	6.00E+00	2.00E+00	1.85E+02	8.17E+01
522	8.82E-01	0.00E+00	Condition 6	1.10E+01	7.00E+00	2.00E+00	7.20E+02	9.76E+01
545	7.84E-01	1.00E+00	Condition 7	1.10E+01	1.00E+00	0.00E+00	3.30E+01	1.00E+02
563	2.96E+00	2.00E+00	Condition 7	1.10E+01	2.00E+00	1.00E+00	6.19E+01	2.01E+02
565	1.20E+00	1.00E+00	Condition 7	1.10E+01	3.00E+00	1.00E+00	7.14E+01	2.67E+02
571	2.02E+00	2.00E+00	Condition 7	1.10E+01	6.00E+00	2.00E+00	1.27E+02	2.26E+02
568	1.57E+00	2.00E+00	Condition 7	1.10E+01	7.00E+00	2.00E+00	3.25E+01	1.25E+02
586	1.46E-01	1.00E+00	Condition 8	1.10E+01	1.00E+00	0.00E+00	1.48E+02	3.55E+02
617	7.08E-01	1.00E+00	Condition 8	1.10E+01	2.00E+00	1.00E+00	9.76E+01	1.38E+02
625	5.63E-01	1.00E+00	Condition 8	1.10E+01	3.00E+00	1.00E+00	1.92E+02	2.60E+02
631	1.80E+00	2.00E+00	Condition 8	1.10E+01	4.00E+00	2.00E+00	7.74E+00	1.48E+02
655	1.56E-01	3.00E+00	Condition 8	1.10E+01	5.00E+00	2.00E+00	4.50E+01	1.43E+02
681	3.09E+00	3.00E+00	Condition 8	1.10E+01	6.00E+00	2.00E+00	2.20E+02	2.73E+02
637	1.04E+00	1.00E+00	Condition 8	1.10E+01	7.00E+00	2.00E+00	1.53E+01	4.92E+02
714	2.38E+00	0.00E+00	Condition 8	1.10E+01	1.40E+01	3.00E+00	1.04E+02	2.70E+02
731	2.38E+00	0.00E+00	Condition 8	1.10E+01	1.50E+01	3.00E+00	4.52E+02	9.35E+01
19	3.05E+00	1.00E+00	Condition 1	1.20E+01	1.00E+00	0.00E+00	9.52E+01	1.88E+02
40	1.08E+00	0.00E+00	Condition 1	1.20E+01	2.00E+00	1.00E+00	1.01E+02	1.00E+02
42	1.08E+00	0.00E+00	Condition 1	1.20E+01	3.00E+00	1.00E+00	1.54E+02	8.59E+01
77	1.50E+00	1.00E+00	Condition 2	1.20E+01	1.00E+00	0.00E+00	9.50E+01	1.74E+02
109	1.98E+00	1.00E+00	Condition 2	1.20E+01	2.00E+00	1.00E+00	1.19E+02	1.42E+02
111	2.62E+00	0.00E+00	Condition 2	1.20E+01	3.00E+00	1.00E+00	1.50E+02	7.25E+01
130	6.46E-01	0.00E+00	Condition 2	1.20E+01	4.00E+00	2.00E+00	8.32E+01	7.64E+01
131	6.46E-01	0.00E+00	Condition 2	1.20E+01	5.00E+00	2.00E+00	8.60E+01	8.15E+01
176	2.23E+00	1.00E+00	Condition 3	1.20E+01	1.00E+00	0.00E+00	3.80E+01	4.69E+01
185	1.89E+00	0.00E+00	Condition 3	1.20E+01	2.00E+00	1.00E+00	1.34E+01	2.34E+01
186	1.89E+00	0.00E+00	Condition 3	1.20E+01	3.00E+00	1.00E+00	1.47E+01	2.11E+01
216	5.74E-01	1.00E+00	Condition 4	1.20E+01	1.00E+00	0.00E+00	1.40E+01	3.13E+01
246	1.23E+00	1.00E+00	Condition 4	1.20E+01	2.00E+00	1.00E+00	1.50E+01	1.96E+02
245	1.27E+00	1.00E+00	Condition 4	1.20E+01	3.00E+00	1.00E+00	1.46E+01	8.64E+01
298	4.49E-01	1.00E+00	Condition 4	1.20E+01	4.00E+00	2.00E+00	3.17E+02	6.71E+01
290	1.68E+00	1.00E+00	Condition 4	1.20E+01	5.00E+00	2.00E+00	6.19E+01	3.94E+00
287	7.50E-01	3.00E+00	Condition 4	1.20E+01	6.00E+00	2.00E+00	4.14E+01	2.77E+01
282	5.83E-01	1.00E+00	Condition 4	1.20E+01	7.00E+00	2.00E+00	2.50E+01	9.42E+01
324	5.20E-01	1.00E+00	Condition 4	1.20E+01	8.00E+00	3.00E+00	3.90E+01	6.08E+01
326	4.36E-01	1.00E+00	Condition 4	1.20E+01	9.00E+00	3.00E+00	4.81E+01	4.52E+01
313	6.46E-01	0.00E+00	Condition 4	1.20E+01	1.00E+01	3.00E+00	3.13E+00	4.49E+00
316	4.27E-01	3.00E+00	Condition 4	1.20E+01	1.10E+01	3.00E+00	9.14E+00	2.40E+02
325	7.72E-01	1.00E+00	Condition 4	1.20E+01	1.40E+01	3.00E+00	4.40E+01	1.10E+02
323	5.63E-01	3.00E+00	Condition 4	1.20E+01	1.50E+01	3.00E+00	2.65E+01	2.66E+01
353	1.60E+00	1.00E+00	Condition 5	1.20E+01	1.00E+00	0.00E+00	8.55E+01	1.73E+02
371	8.85E-01	3.00E+00	Condition 5	1.20E+01	2.00E+00	1.00E+00	3.50E+01	3.96E+01
376	2.53E+00	3.00E+00	Condition 5	1.20E+01	3.00E+00	1.00E+00	6.13E+01	4.30E+01
424	2.05E+00	1.00E+00	Condition 6	1.20E+01	1.00E+00	0.00E+00	2.07E+02	5.04E+02
466	2.07E+00	0.00E+00	Condition 6	1.20E+01	2.00E+00	1.00E+00	1.34E+02	1.84E+02
465	2.07E+00	0.00E+00	Condition 6	1.20E+01	3.00E+00	1.00E+00	1.24E+02	1.42E+02
589	1.02E-02	1.00E+00	Condition 8	1.20E+01	1.00E+00	0.00E+00	       NaN	       NaN
598	5.24E-01	1.00E+00	Condition 8	1.20E+01	2.00E+00	1.00E+00	1.25E+01	1.44E+02
602	5.24E-01	1.00E+00	Condition 8	1.20E+01	3.00E+00	1.00E+00	1.63E+01	1.60E+02
638	1.72E+00	1.00E+00	Condition 8	1.20E+01	4.00E+00	2.00E+00	1.80E+01	5.32E+02
653	2.21E+00	1.00E+00	Condition 8	1.20E+01	5.00E+00	2.00E+00	3.81E+01	3.40E+02
657	2.62E+00	1.00E+00	Condition 8	1.20E+01	6.00E+00	2.00E+00	4.63E+01	3.25E+02
652	6.87E-01	2.00E+00	Condition 8	1.20E+01	7.00E+00	2.00E+00	3.81E+01	1.59E+01
718	1.51E+00	1.00E+00	Condition 8	1.20E+01	8.00E+00	3.00E+00	1.31E+02	3.61E+02
727	7.26E-01	1.00E+00	Condition 8	1.20E+01	9.00E+00	3.00E+00	2.15E+02	4.24E+02
722	1.38E+00	0.00E+00	Condition 8	1.20E+01	1.00E+01	3.00E+00	1.75E+02	1.41E+02
726	1.38E+00	0.00E+00	Condition 8	1.20E+01	1.10E+01	3.00E+00	2.07E+02	4.12E+01
713	9.76E-01	0.00E+00	Condition 8	1.20E+01	1.20E+01	3.00E+00	9.37E+01	6.17E+01
715	9.76E-01	0.00E+00	Condition 8	1.20E+01	1.30E+01	3.00E+00	1.09E+02	4.56E+01
1	4.13E+00	2.00E+00	Condition 1	1.30E+01	1.00E+00	0.00E+00	9.05E+00	3.06E+01
75	3.18E+00	1.00E+00	Condition 2	1.30E+01	1.00E+00	0.00E+00	8.22E+01	3.47E+02
104	9.45E-01	0.00E+00	Condition 2	1.30E+01	2.00E+00	1.00E+00	9.85E+01	9.39E+01
114	9.45E-01	0.00E+00	Condition 2	1.30E+01	3.00E+00	1.00E+00	2.16E+02	1.48E+02
173	2.66E+00	1.00E+00	Condition 3	1.30E+01	1.00E+00	0.00E+00	3.02E+01	1.86E+02
189	1.47E+00	0.00E+00	Condition 3	1.30E+01	2.00E+00	1.00E+00	4.31E+01	2.64E+01
190	1.47E+00	0.00E+00	Condition 3	1.30E+01	3.00E+00	1.00E+00	5.02E+01	5.69E+01
234	2.40E+00	1.00E+00	Condition 4	1.30E+01	1.00E+00	0.00E+00	7.76E+02	2.75E+03
271	1.73E+00	0.00E+00	Condition 4	1.30E+01	2.00E+00	1.00E+00	1.82E+03	1.41E+03
272	1.73E+00	0.00E+00	Condition 4	1.30E+01	3.00E+00	1.00E+00	2.39E+03	2.28E+03
351	3.54E-01	1.00E+00	Condition 5	1.30E+01	1.00E+00	0.00E+00	4.75E+01	7.15E+01
375	3.77E+00	0.00E+00	Condition 5	1.30E+01	2.00E+00	1.00E+00	5.92E+01	6.93E+01
373	3.77E+00	0.00E+00	Condition 5	1.30E+01	3.00E+00	1.00E+00	5.02E+01	6.25E+01
425	1.10E+00	1.00E+00	Condition 6	1.30E+01	1.00E+00	0.00E+00	2.11E+02	6.15E+02
460	9.26E-01	1.00E+00	Condition 6	1.30E+01	2.00E+00	1.00E+00	6.75E+01	7.81E+02
473	6.79E-01	1.00E+00	Condition 6	1.30E+01	3.00E+00	1.00E+00	3.07E+02	8.57E+02
482	5.45E-01	1.00E+00	Condition 6	1.30E+01	4.00E+00	2.00E+00	2.21E+01	5.36E+02
483	5.56E-01	1.00E+00	Condition 6	1.30E+01	5.00E+00	2.00E+00	2.35E+01	5.14E+02
478	1.00E+00	1.00E+00	Condition 6	1.30E+01	6.00E+00	2.00E+00	8.73E+00	4.15E+02
512	5.31E-01	1.00E+00	Condition 6	1.30E+01	7.00E+00	2.00E+00	2.00E+02	4.90E+02
574	4.09E-01	1.00E+00	Condition 8	1.30E+01	1.00E+00	0.00E+00	3.00E+01	5.68E+01
607	2.00E+00	1.00E+00	Condition 8	1.30E+01	2.00E+00	1.00E+00	2.75E+01	3.98E+02
604	2.67E+00	3.00E+00	Condition 8	1.30E+01	3.00E+00	1.00E+00	2.00E+01	8.21E+01
626	8.25E-01	2.00E+00	Condition 8	1.30E+01	4.00E+00	2.00E+00	5.74E+00	3.05E+02
13	2.58E+00	2.00E+00	Condition 1	1.40E+01	1.00E+00	0.00E+00	4.83E+01	5.90E+01
61	2.40E+00	1.00E+00	Condition 2	1.40E+01	1.00E+00	0.00E+00	3.93E+01	9.67E+01
92	1.73E+00	0.00E+00	Condition 2	1.40E+01	2.00E+00	1.00E+00	6.15E+01	4.75E+01
95	1.73E+00	0.00E+00	Condition 2	1.40E+01	3.00E+00	1.00E+00	7.05E+01	4.51E+01
174	1.81E+00	1.00E+00	Condition 3	1.40E+01	1.00E+00	0.00E+00	3.21E+01	5.90E+01
187	2.32E+00	0.00E+00	Condition 3	1.40E+01	2.00E+00	1.00E+00	2.93E+01	2.70E+01
188	2.32E+00	0.00E+00	Condition 3	1.40E+01	3.00E+00	1.00E+00	3.12E+01	2.47E+01
213	1.08E+00	1.00E+00	Condition 4	1.40E+01	1.00E+00	0.00E+00	8.00E+00	4.97E+01
250	2.58E+00	1.00E+00	Condition 4	1.40E+01	2.00E+00	1.00E+00	2.56E+01	2.43E+02
247	1.29E+00	1.00E+00	Condition 4	1.40E+01	3.00E+00	1.00E+00	1.81E+01	9.36E+01
295	4.69E-01	0.00E+00	Condition 4	1.40E+01	4.00E+00	2.00E+00	1.07E+02	5.41E+01
292	2.08E-01	0.00E+00	Condition 4	1.40E+01	5.00E+00	2.00E+00	7.07E+01	4.44E+01
286	1.31E+00	2.00E+00	Condition 4	1.40E+01	6.00E+00	2.00E+00	3.36E+01	7.30E+01
283	1.24E+00	2.00E+00	Condition 4	1.40E+01	7.00E+00	2.00E+00	2.81E+01	4.47E+01
345	3.63E+00	0.00E+00	Condition 5	1.40E+01	1.00E+00	0.00E+00	1.59E+01	1.87E+01
413	1.15E+00	1.00E+00	Condition 6	1.40E+01	1.00E+00	0.00E+00	5.17E+01	2.20E+02
467	2.73E+00	0.00E+00	Condition 6	1.40E+01	2.00E+00	1.00E+00	1.42E+02	8.63E+01
464	1.20E+00	1.00E+00	Condition 6	1.40E+01	3.00E+00	1.00E+00	1.17E+02	6.14E+01
489	1.77E-01	3.00E+00	Condition 6	1.40E+01	6.00E+00	2.00E+00	5.91E+01	6.37E+01
501	9.26E-01	1.00E+00	Condition 6	1.40E+01	7.00E+00	2.00E+00	1.32E+02	4.49E+01
535	8.54E-01	0.00E+00	Condition 6	1.40E+01	1.40E+01	3.00E+00	1.03E+02	6.76E+01
534	8.54E-01	0.00E+00	Condition 6	1.40E+01	1.50E+01	3.00E+00	9.05E+01	6.17E+01
576	2.08E-01	1.00E+00	Condition 8	1.40E+01	1.00E+00	0.00E+00	5.48E+01	1.55E+02
32	2.55E+00	1.00E+00	Condition 1	1.50E+01	1.00E+00	0.00E+00	3.39E+02	3.07E+02
44	1.58E+00	0.00E+00	Condition 1	1.50E+01	2.00E+00	1.00E+00	4.31E+02	2.51E+02
45	1.58E+00	0.00E+00	Condition 1	1.50E+01	3.00E+00	1.00E+00	5.43E+02	2.49E+02
65	3.36E+00	1.00E+00	Condition 2	1.50E+01	1.00E+00	0.00E+00	4.89E+01	1.41E+02
91	7.71E-01	0.00E+00	Condition 2	1.50E+01	2.00E+00	1.00E+00	5.89E+01	4.84E+01
98	7.71E-01	0.00E+00	Condition 2	1.50E+01	3.00E+00	1.00E+00	7.64E+01	5.39E+01
217	3.33E-01	1.00E+00	Condition 4	1.50E+01	1.00E+00	0.00E+00	2.28E+01	5.44E+01
243	1.73E+00	1.00E+00	Condition 4	1.50E+01	2.00E+00	1.00E+00	1.18E+01	3.10E+01
241	2.28E+00	1.00E+00	Condition 4	1.50E+01	3.00E+00	1.00E+00	9.91E+00	5.12E+01
278	8.37E-01	1.00E+00	Condition 4	1.50E+01	4.00E+00	2.00E+00	1.49E+01	2.35E+01
275	2.06E+00	0.00E+00	Condition 4	1.50E+01	5.00E+00	2.00E+00	8.28E+00	4.17E+01
279	1.52E+00	0.00E+00	Condition 4	1.50E+01	6.00E+00	2.00E+00	1.87E+01	8.38E+01
277	1.52E+00	0.00E+00	Condition 4	1.50E+01	7.00E+00	2.00E+00	1.27E+01	6.98E+01
317	8.23E-01	1.00E+00	Condition 4	1.50E+01	8.00E+00	3.00E+00	1.00E+01	2.50E+01
315	8.00E-01	1.00E+00	Condition 4	1.50E+01	9.00E+00	3.00E+00	8.14E+00	3.70E+01
344	7.92E-01	1.00E+00	Condition 5	1.50E+01	1.00E+00	0.00E+00	1.20E+01	3.31E+01
360	2.42E+00	1.00E+00	Condition 5	1.50E+01	2.00E+00	1.00E+00	1.10E+01	2.91E+01
363	1.78E+00	1.00E+00	Condition 5	1.50E+01	3.00E+00	1.00E+00	1.30E+01	3.02E+01
382	9.12E-01	0.00E+00	Condition 5	1.50E+01	4.00E+00	2.00E+00	1.81E+01	1.16E+01
378	9.12E-01	0.00E+00	Condition 5	1.50E+01	5.00E+00	2.00E+00	1.25E+01	1.04E+01
386	1.56E+00	0.00E+00	Condition 5	1.50E+01	6.00E+00	2.00E+00	3.63E+01	2.28E+01
383	1.56E+00	0.00E+00	Condition 5	1.50E+01	7.00E+00	2.00E+00	1.89E+01	1.98E+01
405	3.36E+00	1.00E+00	Condition 6	1.50E+01	1.00E+00	0.00E+00	2.12E+01	5.36E+01
446	7.71E-01	0.00E+00	Condition 6	1.50E+01	2.00E+00	1.00E+00	3.48E+01	4.74E+01
436	7.71E-01	0.00E+00	Condition 6	1.50E+01	3.00E+00	1.00E+00	1.60E+01	3.40E+01
579	6.77E-01	1.00E+00	Condition 8	1.50E+01	1.00E+00	0.00E+00	9.24E+01	2.11E+02
601	1.37E+00	1.00E+00	Condition 8	1.50E+01	2.00E+00	1.00E+00	1.54E+01	2.35E+02
603	5.44E-01	1.00E+00	Condition 8	1.50E+01	3.00E+00	1.00E+00	1.74E+01	2.02E+02
659	1.66E+00	1.00E+00	Condition 8	1.50E+01	4.00E+00	2.00E+00	7.39E+01	3.70E+02
660	2.08E+00	0.00E+00	Condition 8	1.50E+01	5.00E+00	2.00E+00	7.62E+01	2.03E+02
643	2.91E+00	0.00E+00	Condition 8	1.50E+01	6.00E+00	2.00E+00	2.37E+01	7.99E+01
663	8.11E-01	1.00E+00	Condition 8	1.50E+01	7.00E+00	2.00E+00	8.17E+01	1.36E+02
687	4.27E-01	0.00E+00	Condition 8	1.50E+01	8.00E+00	3.00E+00	9.61E+00	4.88E+01
719	4.27E-01	0.00E+00	Condition 8	1.50E+01	9.00E+00	3.00E+00	1.32E+02	9.93E+01
707	6.60E-01	1.00E+00	Condition 8	1.50E+01	1.40E+01	3.00E+00	4.57E+01	2.71E+02
691	7.54E-01	1.00E+00	Condition 8	1.50E+01	1.50E+01	3.00E+00	1.86E+01	8.75E+01
5	4.13E+00	0.00E+00	Condition 1	1.60E+01	1.00E+00	0.00E+00	2.71E+01	2.66E+01
70	2.60E-01	1.00E+00	Condition 2	1.60E+01	1.00E+00	0.00E+00	6.03E+01	1.22E+02
97	1.74E+00	1.00E+00	Condition 2	1.60E+01	2.00E+00	1.00E+00	7.62E+01	5.96E+01
93	1.18E+00	1.00E+00	Condition 2	1.60E+01	3.00E+00	1.00E+00	6.53E+01	2.36E+02
141	9.94E-01	1.00E+00	Condition 2	1.60E+01	4.00E+00	2.00E+00	1.23E+02	1.36E+02
134	2.08E+00	1.00E+00	Condition 2	1.60E+01	5.00E+00	2.00E+00	9.36E+01	2.78E+02
138	1.70E+00	1.00E+00	Condition 2	1.60E+01	6.00E+00	2.00E+00	1.11E+02	2.99E+02
120	1.44E+00	1.00E+00	Condition 2	1.60E+01	7.00E+00	2.00E+00	5.19E+01	2.02E+02
151	1.13E+00	0.00E+00	Condition 2	1.60E+01	8.00E+00	3.00E+00	3.30E+01	1.39E+02
149	1.13E+00	0.00E+00	Condition 2	1.60E+01	9.00E+00	3.00E+00	1.98E+01	7.44E+01
167	5.21E-02	0.00E+00	Condition 2	1.60E+01	1.00E+01	3.00E+00	       NaN	       NaN
168	5.21E-02	0.00E+00	Condition 2	1.60E+01	1.10E+01	3.00E+00	       NaN	       NaN
163	9.86E-01	0.00E+00	Condition 2	1.60E+01	1.20E+01	3.00E+00	1.57E+02	1.28E+02
166	9.86E-01	0.00E+00	Condition 2	1.60E+01	1.30E+01	3.00E+00	2.04E+02	1.14E+02
154	1.19E+00	1.00E+00	Condition 2	1.60E+01	1.40E+01	3.00E+00	8.67E+01	2.51E+02
155	1.22E+00	1.00E+00	Condition 2	1.60E+01	1.50E+01	3.00E+00	8.82E+01	4.08E+02
228	9.36E-02	1.00E+00	Condition 4	1.60E+01	1.00E+00	0.00E+00	1.14E+02	3.13E+02
264	1.35E+00	1.00E+00	Condition 4	1.60E+01	2.00E+00	1.00E+00	1.72E+02	1.31E+03
251	1.39E+00	1.00E+00	Condition 4	1.60E+01	3.00E+00	1.00E+00	2.91E+01	5.83E+02
300	1.32E+00	1.00E+00	Condition 4	1.60E+01	4.00E+00	2.00E+00	3.64E+02	1.14E+02
301	1.49E+00	1.00E+00	Condition 4	1.60E+01	5.00E+00	2.00E+00	3.90E+02	6.09E+02
293	1.17E+00	1.00E+00	Condition 4	1.60E+01	6.00E+00	2.00E+00	7.68E+01	9.47E+02
299	1.14E+00	1.00E+00	Condition 4	1.60E+01	7.00E+00	2.00E+00	3.38E+02	1.79E+02
333	1.29E+00	1.00E+00	Condition 4	1.60E+01	8.00E+00	3.00E+00	4.16E+02	1.27E+03
330	1.15E+00	1.00E+00	Condition 4	1.60E+01	9.00E+00	3.00E+00	2.16E+02	9.13E+02
321	1.20E+00	0.00E+00	Condition 4	1.60E+01	1.00E+01	3.00E+00	1.69E+01	4.18E+02
332	1.20E+00	0.00E+00	Condition 4	1.60E+01	1.10E+01	3.00E+00	3.59E+02	4.22E+02
334	1.48E+00	0.00E+00	Condition 4	1.60E+01	1.20E+01	3.00E+00	4.51E+02	4.69E+02
331	1.48E+00	0.00E+00	Condition 4	1.60E+01	1.30E+01	3.00E+00	3.29E+02	3.11E+02
337	1.51E+00	0.00E+00	Condition 4	1.60E+01	1.40E+01	3.00E+00	5.13E+02	4.59E+02
328	1.51E+00	0.00E+00	Condition 4	1.60E+01	1.50E+01	3.00E+00	9.09E+01	4.00E+02
399	3.67E-01	1.00E+00	Condition 6	1.60E+01	1.00E+00	0.00E+00	1.30E+01	2.83E+01
433	3.18E+00	2.00E+00	Condition 6	1.60E+01	2.00E+00	1.00E+00	1.26E+01	3.35E+01
